공시연도,학교코드,학교명,psbs_div_cd,본분교명,schl_div_cd,대학구분,schl_knd_cd,학교종류,schl_estb_div_cd,설립유형,pbnf_area_cd,지역명,schl_cprt_cd,대표학교코드,schl_stat_cd,학교상태,신입생경쟁률(학부),신입생경쟁률(학부)_기준년도,gn_ie_fm_cn_re_unit,ge_et_re,ge_et_re_year,ge_et_re_unit,st_gn_sd_fm_tr_1_ps_py_st_ct,st_gn_sd_fm_tr_1_ps_py_st_ct_year,st_gn_sd_fm_tr_1_ps_py_st_ct_unit,학생1인당교육비,학생1인당교육비_기준년도,st_1_ps_py_et_unit,학생1인당도서자료수,학생1인당도서자료수_기준년도,st_1_ps_py_bk_ct_unit,학생1인당연간장학금(학부),학생1인당연간장학금(학부)_기준년도,st_1_ps_py_sp_unit,기숙사수용률,기숙사수용률_기준년도,be_ae_re_unit,fr_fd_ct,fr_fd_ct_year,fr_fd_ct_unit,평균등록금(학부),평균등록금(학부)_기준년도,ae_tn_unit,fm_tr_le_ce_re,fm_tr_le_ce_re_year,fm_tr_le_ce_re_unit,재학생수(학부),재학생수(학부)_기준년도,et_st_ct_unit,입학정원(학부),입학정원(학부)_기준년도,fm_el_gn_ct_unit,졸업생수(학부),졸업생수(학부)_기준년도,gn_mn_ct_unit,전임교원수(학부+대학원),전임교원수(학부+대학원)_기준년도,fr_fm_tr_sn_ct_unit,st_gn_sd_fm_tr_ee_re,st_gn_sd_fm_tr_ee_re_year,st_gn_sd_fm_tr_ee_re_unit,st_sd_fm_tr_ee_re,st_sd_fm_tr_ee_re_year,st_sd_fm_tr_ee_re_unit,신입생충원율(학부),신입생충원율(학부)_기준년도,gn_ie_fm_rt_re_unit
2026,0000050,감리교신학대학교,1,본교,02,대학,03,대학교,3,사립,11,서울,00006,0000050,6,기존,1.9,2025,:1,0.0,2025,%,68.96,2025,명,11094.4,2025,천원,159.3,2025,권,5182411.3,2025,원,23.2,2025,%,3,2025,명,6820.9,2025,천원,66.8,2025,%,564,2025,명,192,2025,명,170,2025,명,24,2025,명,35.82,2025,%,38.71,2025,%,100.0,2025,%
2026,0000051,강남대학교,1,본교,02,대학,03,대학교,3,사립,41,경기,00007,0000051,6,기존,8.4,2025,:1,59.8,2025,%,33.34,2025,명,14525.4,2025,천원,87.1,2025,권,3645505.2,2025,원,14.1,2025,%,485,2025,명,7968.4,2025,천원,59.9,2025,%,6522,2025,명,1491,2025,명,1554,2025,명,206,2025,명,68.67,2025,%,67.1,2025,%,100.0,2025,%
2026,0000433,강동대학교,1,본교,01,전문대학,20,전문대학,3,사립,43,충북,00391,0000433,6,기존,3.2,2025,:1,78.9,2025,%,33.89,2025,명,9339.4,2025,천원,75.7,2025,권,4139991.8,2025,원,22.9,2025,%,219,2025,명,5901.9,2025,천원,52.1,2025,%,3376,2025,명,1191,2025,명,1200,2025,명,85,2025,명,62.5,2025,%,53.8,2025,%,95.3,2025,%
2026,0000514,강릉영동대학교,1,본교,01,전문대학,20,전문대학,3,사립,42,강원,00009,0000514,6,기존,2.7,2025,:1,75.6,2025,%,31.06,2025,명,10524.1,2025,천원,37.5,2025,권,3169248.1,2025,원,21.3,2025,%,1514,2025,명,6123.2,2025,천원,55.5,2025,%,3144,2025,명,774,2025,명,760,2025,명,68,2025,명,64.76,2025,%,43.31,2025,%,83.4,2025,%
2026,0000079,강서대학교,1,본교,02,대학,03,대학교,3,사립,11,서울,00077,0000079,6,기존,10.4,2025,:1,66.2,2025,%,25.19,2025,명,9896.2,2025,천원,68.0,2025,권,3356599.4,2025,원,11.2,2025,%,666,2025,명,7924.7,2025,천원,61.3,2025,%,1742,2025,명,277,2025,명,504,2025,명,54,2025,명,90.0,2025,%,66.67,2025,%,100.0,2025,%
2026,0000548,강원관광대학교,1,본교,01,전문대학,20,전문대학,3,사립,42,강원,00011,0000548,1,폐교,0,2025,:1,0.0,2025,%,0.0,2025,명,0.0,2025,천원,0.0,2025,권,0,2025,원,0.0,2025,%,0,2025,명,0.0,2025,천원,0.0,2025,%,0,2025,명,0,2025,명,0,2025,명,0,2025,명,0.0,2025,%,0.0,2025,%,0.0,2025,%
2026,0003364,강원대학교,C,제4캠퍼스,02,대학,03,대학교,1,국립,42,강원,99998,0000003,5,신설,0,-,:1,0.0,-,%,0.0,-,명,0.0,-,천원,0.0,-,권,0,-,원,0.0,-,%,0,-,명,0.0,-,천원,0.0,-,%,0,-,명,0,-,명,0,-,명,0,-,명,0.0,-,%,0.0,-,%,0.0,-,%
2026,0000003,강원대학교,1,본교,02,대학,03,대학교,1,국립,42,강원,00012,0000003,6,기존,9.3,2025,:1,57.7,2025,%,20.14,2025,명,23973.3,2025,천원,76.3,2025,권,3010391,2025,원,26.5,2025,%,1015,2025,명,4179.9,2025,천원,59.2,2025,%,14157,2025,명,3197,2025,명,3009,2025,명,837,2025,명,101.45,2025,%,93.31,2025,%,100.0,2025,%
2026,0000004,강원대학교,A,제2캠퍼스,02,대학,03,대학교,1,국립,42,강원,00012,0000003,6,기존,5.3,2025,:1,61.9,2025,%,31.16,2025,명,0.0,2025,천원,0.0,2025,권,3650832.8,2025,원,48.5,2025,%,99,2025,명,4242.8,2025,천원,58.0,2025,%,4817,2025,명,1309,2025,명,1150,2025,명,198,2025,명,65.78,2025,%,76.15,2025,%,100.0,2025,%
2026,0003363,강원대학교,B,제3캠퍼스,02,대학,03,대학교,1,국립,42,강원,99998,0000003,5,신설,0,-,:1,0.0,-,%,0.0,-,명,0.0,-,천원,0.0,-,권,0,-,원,0.0,-,%,0,-,명,0.0,-,천원,0.0,-,%,0,-,명,0,-,명,0,-,명,0,-,명,0.0,-,%,0.0,-,%,0.0,-,%
2026,0002639,강원도립대학교,1,본교,01,전문대학,20,전문대학,2,공립,42,강원,00013,0002639,6,기존,3.1,2025,:1,63.9,2025,%,32.9,2025,명,35230.9,2025,천원,68.2,2025,권,3270046.3,2025,원,48.3,2025,%,62,2025,명,2348.7,2025,천원,33.5,2025,%,583,2025,명,314,2025,명,225,2025,명,20,2025,명,60.61,2025,%,68.97,2025,%,100.0,2025,%
2026,0000663,개신대학원대학교,1,본교,04,대학원대학,10,전문대학원,3,사립,11,서울,00014,0000663,6,기존,-,2025,:1,40.0,2025,%,50.0,2025,명,7419.3,2025,천원,112.9,2025,권,-,2025,원,6.2,2025,%,191,2025,명,3190.8,2025,천원,27.4,2025,%,273,2025,명,40,2025,명,23,2025,명,4,2025,명,50.0,2025,%,23.53,2025,%,105.0,2025,%
2026,0000412,거제대학교,1,본교,01,전문대학,20,전문대학,3,사립,48,경남,00015,0000412,6,기존,4.8,2025,:1,77.3,2025,%,27.97,2025,명,19728.1,2025,천원,70.5,2025,권,4669280.2,2025,원,52.2,2025,%,265,2025,명,6519.1,2025,천원,39.2,2025,%,1072,2025,명,357,2025,명,371,2025,명,35,2025,명,71.43,2025,%,66.04,2025,%,100.0,2025,%
2026,0000052,건국대학교,1,본교,02,대학,03,대학교,3,사립,11,서울,00016,0000052,6,기존,21.7,2025,:1,66.8,2025,%,29.82,2025,명,17507.9,2025,천원,67.4,2025,권,3605901.7,2025,원,17.1,2025,%,2228,2025,명,8748.3,2025,천원,59.5,2025,%,15960,2025,명,3000,2025,명,3410,2025,명,657,2025,명,68.14,2025,%,59.08,2025,%,99.9,2025,%
2026,0000053,건국대학교(글로컬),2,분교,02,대학,03,대학교,3,사립,43,충북,00016,0000052,6,기존,10.8,2025,:1,63.2,2025,%,17.43,2025,명,17732.5,2025,천원,98.0,2025,권,4326840.8,2025,원,30.2,2025,%,218,2025,명,8570.2,2025,천원,61.1,2025,%,7190,2025,명,1629,2025,명,1662,2025,명,407,2025,명,115.63,2025,%,105.44,2025,%,99.9,2025,%
2026,0000643,건신대학원대학교,1,본교,04,대학원대학,10,전문대학원,3,사립,25,대전,00149,0000643,6,기존,-,2025,:1,73.7,2025,%,26.0,2025,명,8838.0,2025,천원,129.3,2025,권,-,2025,원,0.0,2025,%,1,2025,명,3206.9,2025,천원,55.0,2025,%,164,2025,명,90,2025,명,77,2025,명,12,2025,명,92.31,2025,%,120.0,2025,%,84.4,2025,%
2026,0000054,건양대학교,1,본교,02,대학,03,대학교,3,사립,44,충남,00018,0000054,6,기존,5.1,2025,:1,72.8,2025,%,26.66,2025,명,18343.7,2025,천원,70.8,2025,권,4619266.3,2025,원,50.1,2025,%,430,2025,명,6625.9,2025,천원,64.7,2025,%,2531,2025,명,667,2025,명,669,2025,명,107,2025,명,84.25,2025,%,95.54,2025,%,99.4,2025,%
2026,0000055,건양대학교,A,제2캠퍼스,02,대학,03,대학교,3,사립,25,대전,00018,0000054,6,기존,6.8,2025,:1,78.2,2025,%,19.23,2025,명,0.0,2025,천원,0.0,2025,권,4106459.6,2025,원,32.3,2025,%,42,2025,명,7641.4,2025,천원,77.5,2025,%,3841,2025,명,1015,2025,명,830,2025,명,243,2025,명,97.59,2025,%,95.29,2025,%,99.8,2025,%
2026,0000335,건양사이버대학교,1,본교,02,대학,13,사이버대학(대학),3,사립,25,대전,00018,0000335,6,기존,1.2,2025,:1,74.3,2025,%,199.76,2025,명,4573.5,2025,천원,0.2,2025,권,2632380.4,2025,원,0.0,2025,%,13,2025,명,2541.3,2025,천원,40.8,2025,%,4078,2025,명,1068,2025,명,1233,2025,명,17,2025,명,100.0,2025,%,80.95,2025,%,77.1,2025,%
2026,0000560,경기과학기술대학교,1,본교,01,전문대학,20,전문대학,3,사립,41,경기,00019,0000560,6,기존,6.6,2025,:1,69.7,2025,%,30.87,2025,명,14429.8,2025,천원,42.7,2025,권,4131614.1,2025,원,15.9,2025,%,449,2025,명,6756.3,2025,천원,53.8,2025,%,3919,2025,명,1330,2025,명,1639,2025,명,103,2025,명,65.19,2025,%,55.38,2025,%,92.7,2025,%
2026,0000058,경기대학교,A,제2캠퍼스,02,대학,03,대학교,3,사립,11,서울,00020,0000056,6,기존,25.5,2025,:1,67.1,2025,%,50.62,2025,명,0.0,2025,천원,0.0,2025,권,3462183.4,2025,원,0.3,2025,%,294,2025,명,7548.8,2025,천원,55.1,2025,%,1841,2025,명,328,2025,명,477,2025,명,31,2025,명,44.92,2025,%,43.09,2025,%,100.0,2025,%
2026,0000056,경기대학교,1,본교,02,대학,03,대학교,3,사립,41,경기,00020,0000056,6,기존,13.1,2025,:1,62.1,2025,%,29.22,2025,명,12292.2,2025,천원,73.1,2025,권,3984639.3,2025,원,17.8,2025,%,812,2025,명,7796.2,2025,천원,66.2,2025,%,11891,2025,명,2618,2025,명,2700,2025,명,454,2025,명,75.26,2025,%,68.9,2025,%,99.4,2025,%
2026,0000035,경남과학기술대학교,1,본교,02,대학,03,대학교,1,국립,48,경남,00021,0000035,1,폐교,0,2025,:1,55.5,2025,%,0.0,2025,명,0.0,2025,천원,0.0,2025,권,2952829.6,2025,원,0.0,2025,%,0,2025,명,4048.0,2025,천원,0.0,2025,%,1285,2025,명,0,2025,명,946,2025,명,0,2025,명,0.0,2025,%,0.0,2025,%,0.0,2025,%
2026,0000059,경남대학교,1,본교,02,대학,03,대학교,3,사립,48,경남,00022,0000059,6,기존,4.8,2025,:1,60.4,2025,%,28.25,2025,명,15090.3,2025,천원,105.5,2025,권,4001530.2,2025,원,18.1,2025,%,407,2025,명,6850.3,2025,천원,75.5,2025,%,8352,2025,명,1960,2025,명,2493,2025,명,365,2025,명,77.66,2025,%,80.75,2025,%,96.3,2025,%
2026,0000402,경남도립거창대학,1,본교,01,전문대학,20,전문대학,2,공립,48,경남,00023,0000402,1,폐교,3.1,2025,:1,75.3,2025,%,33.62,2025,명,22616.5,2025,천원,51.7,2025,권,3107770.9,2025,원,53.3,2025,%,23,2025,명,2852.7,2025,천원,31.2,2025,%,845,2025,명,344,2025,명,343,2025,명,26,2025,명,57.78,2025,%,61.9,2025,%,100.0,2025,%
2026,0000403,경남도립남해대학,1,본교,01,전문대학,20,전문대학,2,공립,48,경남,00024,0000403,1,폐교,3.1,2025,:1,74.7,2025,%,39.74,2025,명,23724.0,2025,천원,51.2,2025,권,3232524.3,2025,원,50.5,2025,%,36,2025,명,2759.1,2025,천원,34.0,2025,%,798,2025,명,340,2025,명,327,2025,명,19,2025,명,52.78,2025,%,48.72,2025,%,100.0,2025,%
2026,0002640,경남정보대학교,1,본교,01,전문대학,20,전문대학,3,사립,21,부산,00025,0002640,6,기존,6,2025,:1,72.9,2025,%,30.27,2025,명,13990.8,2025,천원,46.3,2025,권,4687318.5,2025,원,18.1,2025,%,409,2025,명,6530.0,2025,천원,52.7,2025,%,5418,2025,명,1965,2025,명,2007,2025,명,154,2025,명,68.44,2025,%,60.87,2025,%,81.0,2025,%
2026,0002573,경동대학교,A,제2캠퍼스,02,대학,03,대학교,3,사립,42,강원,00026,0000060,6,기존,0,2025,:1,0.0,2025,%,0.0,2025,명,0.0,2025,천원,0.0,2025,권,0,2025,원,0.0,2025,%,0,2025,명,0.0,2025,천원,0.0,2025,%,0,2025,명,0,2025,명,0,2025,명,0,2025,명,0.0,2025,%,0.0,2025,%,0.0,2025,%
2026,0002574,경동대학교,B,제3캠퍼스,02,대학,03,대학교,3,사립,42,강원,00026,0000060,6,기존,5.8,2025,:1,82.4,2025,%,36.44,2025,명,0.0,2025,천원,0.0,2025,권,4298497.6,2025,원,28.5,2025,%,2,2025,명,8954.4,2025,천원,78.7,2025,%,3566,2025,명,842,2025,명,898,2025,명,99,2025,명,55.0,2025,%,55.62,2025,%,99.9,2025,%
2026,0000060,경동대학교,1,본교,02,대학,03,대학교,3,사립,42,강원,00026,0000060,6,기존,0,2025,:1,80.4,2025,%,5.24,2025,명,14389.5,2025,천원,62.6,2025,권,7076342.1,2025,원,63.6,2025,%,1169,2025,명,6728.7,2025,천원,87.2,2025,%,1126,2025,명,0,2025,명,99,2025,명,29,2025,명,362.5,2025,%,54.72,2025,%,0.0,2025,%
2026,0002744,경동대학교,C,제4캠퍼스,02,대학,03,대학교,3,사립,41,경기,00026,0000060,6,기존,6.7,2025,:1,67.9,2025,%,29.33,2025,명,0.0,2025,천원,0.0,2025,권,3803425.2,2025,원,20.3,2025,%,392,2025,명,8137.3,2025,천원,80.0,2025,%,2453,2025,명,713,2025,명,577,2025,명,92,2025,명,72.44,2025,%,80.7,2025,%,100.0,2025,%
2026,0000416,경민대학교,1,본교,01,전문대학,20,전문대학,3,사립,41,경기,00027,0000416,6,기존,5.8,2025,:1,68.2,2025,%,31.31,2025,명,13525.9,2025,천원,36.5,2025,권,4640839.8,2025,원,4.6,2025,%,1067,2025,명,6869.9,2025,천원,55.0,2025,%,5112,2025,명,1470,2025,명,1424,2025,명,115,2025,명,66.47,2025,%,47.13,2025,%,99.4,2025,%
2026,0002641,경복대학교,1,본교,01,전문대학,20,전문대학,3,사립,41,경기,00398,0002641,6,기존,9.3,2025,:1,82.1,2025,%,37.27,2025,명,14023.2,2025,천원,28.8,2025,권,4389128.1,2025,원,26.4,2025,%,910,2025,명,6969.6,2025,천원,51.8,2025,%,6253,2025,명,1786,2025,명,1850,2025,명,146,2025,명,55.51,2025,%,47.87,2025,%,97.7,2025,%
2026,0000456,경북과학대학교,1,본교,01,전문대학,20,전문대학,3,사립,47,경북,00029,0000456,6,기존,1.9,2025,:1,80.5,2025,%,33.39,2025,명,11945.1,2025,천원,47.8,2025,권,4673558.8,2025,원,28.2,2025,%,211,2025,명,5750.3,2025,천원,50.8,2025,%,2266,2025,명,667,2025,명,666,2025,명,51,2025,명,62.96,2025,%,49.51,2025,%,100.0,2025,%
2026,0000005,경북대학교,1,본교,02,대학,03,대학교,1,국립,22,대구,00030,0000005,6,기존,11.3,2025,:1,57.8,2025,%,19.95,2025,명,27082.8,2025,천원,126.4,2025,권,3106796,2025,원,23.7,2025,%,1660,2025,명,4514.2,2025,천원,59.3,2025,%,22562,2025,명,5269,2025,명,4662,2025,명,1428,2025,명,97.53,2025,%,91.57,2025,%,99.9,2025,%
2026,0000405,경북도립대학교,1,본교,01,전문대학,20,전문대학,2,공립,47,경북,00031,0000405,1,폐교,0,2025,:1,69.5,2025,%,0.0,2025,명,37987.6,2025,천원,0.0,2025,권,3480667.2,2025,원,0.0,2025,%,0,2025,명,2456.7,2025,천원,35.9,2025,%,358,2025,명,0,2025,명,330,2025,명,0,2025,명,0.0,2025,%,0.0,2025,%,0.0,2025,%
2026,0000438,경북보건대학교,1,본교,01,전문대학,20,전문대학,3,사립,47,경북,00082,0000438,6,기존,5,2025,:1,77.6,2025,%,28.12,2025,명,14064.0,2025,천원,34.1,2025,권,4123311.4,2025,원,54.6,2025,%,29,2025,명,5602.9,2025,천원,53.1,2025,%,1306,2025,명,356,2025,명,343,2025,명,43,2025,명,71.67,2025,%,67.19,2025,%,94.9,2025,%
2026,0002642,경북전문대학교,1,본교,01,전문대학,20,전문대학,3,사립,47,경북,00033,0002642,6,기존,3.7,2025,:1,81.0,2025,%,29.67,2025,명,13174.2,2025,천원,58.8,2025,권,4574434.5,2025,원,36.8,2025,%,21,2025,명,6088.5,2025,천원,57.4,2025,%,2605,2025,명,796,2025,명,952,2025,명,70,2025,명,70.0,2025,%,56.45,2025,%,81.2,2025,%
2026,0000007,경상국립대학교,1,본교,02,대학,03,대학교,1,국립,48,경남,00035,0000007,6,기존,6.9,2025,:1,54.1,2025,%,20.59,2025,명,23506.5,2025,천원,82.4,2025,권,3249618.3,2025,원,27.2,2025,%,335,2025,명,4078.1,2025,천원,69.4,2025,%,16424,2025,명,4452,2025,명,2848,2025,명,1050,2025,명,98.49,2025,%,105.87,2025,%,100.0,2025,%
2026,0000062,경성대학교,1,본교,02,대학,03,대학교,3,사립,21,부산,00036,0000062,6,기존,6.5,2025,:1,55.0,2025,%,34.12,2025,명,11152.3,2025,천원,78.0,2025,권,3515930.3,2025,원,11.2,2025,%,1966,2025,명,7328.5,2025,천원,63.2,2025,%,12568,2025,명,2765,2025,명,2529,2025,명,363,2025,명,64.13,2025,%,59.51,2025,%,99.7,2025,%
2026,0000668,경안대학원대학교,1,본교,04,대학원대학,10,전문대학원,3,사립,47,경북,00037,0000668,6,기존,-,2025,:1,72.0,2025,%,33.33,2025,명,7259.6,2025,천원,143.2,2025,권,-,2025,원,0.0,2025,%,0,2025,명,2100.0,2025,천원,45.0,2025,%,64,2025,명,50,2025,명,24,2025,명,6,2025,명,66.67,2025,%,120.0,2025,%,56.0,2025,%
2026,0000244,경운대학교,1,본교,02,대학,03,대학교,3,사립,47,경북,00038,0000244,6,기존,4.1,2025,:1,70.3,2025,%,31.44,2025,명,14282.2,2025,천원,93.3,2025,권,5191755.2,2025,원,31.9,2025,%,909,2025,명,8093.2,2025,천원,69.2,2025,%,5074,2025,명,1184,2025,명,1268,2025,명,163,2025,명,65.99,2025,%,58.63,2025,%,99.9,2025,%
2026,0000285,경운대학교(산업대),1,본교,02,대학,05,산업대학,3,사립,47,경북,00038,0000285,1,폐교,0,2025,:1,0.0,2025,%,0.0,2025,명,0.0,2025,천원,0.0,2025,권,0,2025,원,0.0,2025,%,0,2025,명,0.0,2025,천원,0.0,2025,%,0,2025,명,0,2025,명,0,2025,명,0,2025,명,0.0,2025,%,0.0,2025,%,0.0,2025,%
2026,0000256,경인교육대학교,1,본교,02,대학,02,교육대학,1,국립,23,인천,00039,0000256,6,기존,5.7,2025,:1,0.0,2025,%,37.61,2025,명,14205.9,2025,천원,166.8,2025,권,2410891.8,2025,원,39.1,2025,%,6,2025,명,3492.9,2025,천원,43.0,2025,%,1132,2025,명,526,2025,명,0,2025,명,134,2025,명,63.51,2025,%,117.54,2025,%,99.2,2025,%
2026,0000257,경인교육대학교,A,제2캠퍼스,02,대학,02,교육대학,1,국립,41,경기,00039,0000256,6,기존,0,2025,:1,59.1,2025,%,0.0,2025,명,0.0,2025,천원,0.0,2025,권,2514279.9,2025,원,62.5,2025,%,0,2025,명,0.0,2025,천원,58.3,2025,%,1161,2025,명,0,2025,명,590,2025,명,0,2025,명,0.0,2025,%,0.0,2025,%,0.0,2025,%
2026,0000422,경인여자대학교,1,본교,01,전문대학,20,전문대학,3,사립,23,인천,00040,0000422,6,기존,7.5,2025,:1,65.3,2025,%,34.89,2025,명,12392.8,2025,천원,73.4,2025,권,4076907.4,2025,원,0.1,2025,%,428,2025,명,6766.8,2025,천원,48.3,2025,%,3623,2025,명,1305,2025,명,1250,2025,명,101,2025,명,60.61,2025,%,59.17,2025,%,96.6,2025,%
2026,0000064,경일대학교,1,본교,02,대학,03,대학교,3,사립,47,경북,00041,0000064,6,기존,4.9,2025,:1,63.5,2025,%,27.05,2025,명,13587.4,2025,천원,76.2,2025,권,4693208.6,2025,원,23.6,2025,%,946,2025,명,7753.8,2025,천원,84.8,2025,%,6930,2025,명,1521,2025,명,1502,2025,명,238,2025,명,76.53,2025,%,67.81,2025,%,100.0,2025,%
2026,0000066,경희대학교,1,본교,02,대학,03,대학교,3,사립,11,서울,00043,0000066,6,기존,16.2,2025,:1,64.8,2025,%,20.69,2025,명,18794.5,2025,천원,78.9,2025,권,3487989.6,2025,원,17.1,2025,%,3535,2025,명,8441.6,2025,천원,57.7,2025,%,25573,2025,명,4873,2025,명,5776,2025,명,1395,2025,명,94.51,2025,%,76.99,2025,%,99.6,2025,%
2026,0000318,경희사이버대학교,1,본교,02,대학,13,사이버대학(대학),3,사립,11,서울,00043,0000318,6,기존,.8,2025,:1,77.1,2025,%,194.5,2025,명,3966.3,2025,천원,3.7,2025,권,1705183,2025,원,0.0,2025,%,229,2025,명,2914.4,2025,천원,34.2,2025,%,10615,2025,명,3000,2025,명,3221,2025,명,50,2025,명,102.04,2025,%,89.29,2025,%,63.8,2025,%
