공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,지역명,학교상태,입학정원(학부),재학생수(학부),신입생경쟁률(학부),신입생충원율(학부),신입생충원율(학부)_기준년도,재학생충원율,재학생충원율_확보상태,raw_source_url,재학생충원율_기준시점,학생정원_raw29,학생모집정지인원_raw29,재학생수(학부)_raw29,정원내재학생수_raw29,정원내재학생충원율,입학정원(학부)_raw27,신입생충원율(학부)_raw27,신입생경쟁률(학부)_raw27,재학생수(학부)_raw31,정원내재학생수_raw31,정원외재학생수_raw31,재학생충원율_원자료파일
2026,0000027,0000027,제주대학교,본교,대학,대학교,국립,제주,기존,2235,9306,6.5,99.9,2025,104.5,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,8908.0,0.0,9306.0,8452.0,94.9,2235.0,99.9,6.5,9306.0,8452.0,854.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000533,0000533,제주산업정보대학,본교,전문대학,전문대학,사립,제주,폐교,0,0,0,0.0,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0002655,0002655,제주한라대학교,본교,전문대학,전문대학,사립,제주,기존,1484,3897,1.5,73.3,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0002974,0002974,조선간호대학교,본교,전문대학,전문대학,사립,광주,기존,152,735,7.4,100.0,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000172,0000172,조선대학교,본교,대학,대학교,사립,광주,기존,4354,17911,5.7,99.9,2025,100.2,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,17877.0,0.0,17911.0,16493.0,92.3,4354.0,99.9,5.7,17911.0,16493.0,1418.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000534,0000534,조선이공대학교,본교,전문대학,전문대학,사립,광주,기존,1492,2806,3.3,94.2,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000680,0000680,주안대학원대학교,본교,대학원대학,전문대학원,사립,인천,기존,25,85,-,100.0,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000173,0000173,중부대학교,본교,대학,대학교,사립,충남,기존,1645,6991,7.5,100.1,2025,99.4,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,7035.0,0.0,6991.0,5930.0,84.3,1645.0,100.1,7.5,6991.0,5930.0,1061.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000175,0000174,중앙대학교,제2캠퍼스,대학,대학교,사립,경기,기존,1168,4963,10.6,99.9,2025,104.4,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,4752.0,0.0,4963.0,4410.0,92.8,1168.0,99.9,10.6,4963.0,4410.0,553.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000175,0000175,중앙대학교,본교,대학,대학교,사립,서울,기존,3210,18637,24.3,100.0,2025,141.9,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,13132.0,0.0,18637.0,13763.0,104.8,3210.0,100.0,24.3,18637.0,13763.0,4874.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000177,0000177,중앙승가대학교,본교,대학,대학교,사립,경기,기존,120,53,.1,10.0,2025,11.0,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,480.0,0.0,53.0,49.0,10.2,120.0,10.0,0.1,53.0,49.0,4.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000239,0000239,중원대학교,본교,대학,대학교,사립,충북,기존,812,3324,3.6,98.1,2025,105.5,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,3195.0,44.0,3324.0,3005.0,95.4,812.0,98.1,3.6,3324.0,3005.0,319.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000260,0000260,진주교육대학교,본교,대학,교육대학,국립,경남,기존,319,1169,5.4,100.0,2025,97.4,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,1238.0,38.0,1169.0,1109.0,92.4,319.0,100.0,5.4,1169.0,1109.0,60.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000539,0000539,진주보건대학교,본교,전문대학,전문대학,사립,경남,기존,669,2249,4,80.4,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
