공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,지역명,학교상태,입학정원(학부),재학생수(학부),신입생경쟁률(학부),신입생충원율(학부),신입생충원율(학부)_기준년도,재학생충원율,재학생충원율_확보상태,raw_source_url
2026,0000281,0000281,우송대학교(산업대),본교,대학,산업대학,사립,대전,폐교,0,0,0,0.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000452,0000452,우송정보대학,본교,전문대학,전문대학,사립,대전,기존,1475,2904,4.3,97.9,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000250,0000250,울산과학기술원,본교,대학,대학교,특별법법인,울산,기존,400,1893,17.3,104.3,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000521,0000521,울산과학대학교,본교,전문대학,전문대학,사립,울산,기존,1628,5224,9.5,97.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000158,0000158,울산대학교,본교,대학,대학교,사립,울산,기존,2737,10606,5.1,99.5,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000568,0000568,웅지세무대학교,본교,전문대학,전문대학,사립,경기,기존,599,166,.3,7.2,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000159,0000159,원광대학교,본교,대학,대학교,사립,전북,기존,2869,12360,5.6,99.8,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000327,0000327,원광디지털대학교,본교,대학,사이버대학(대학),사립,전북,기존,1500,4931,.8,53.1,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000523,0000523,원광보건대학교,본교,전문대학,전문대학,사립,전북,폐교,1281,3810,4.8,92.7,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000645,0000645,원불교대학원대학교,본교,대학원대학,전문대학원,사립,전북,기존,47,30,-,23.4,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
