기준년도,학교명,본분교명,졸업생_진로_성과
2009,성균관대학교,본교,69.5
2009,성신여자대학교,본교,66.4
2009,세명대학교,본교,84.6
2009,세종대학교,본교,55.5
2009,수도침례신학교,본교,71.4
2009,수원가톨릭대학교,본교,100.0
2009,수원대학교,본교,55.5
2009,숙명여자대학교,본교,76.3
2009,순천향대학교,본교,71.3
2009,숭실대학교,본교,66.2
2009,신경대학교,본교,100.0
2009,신라대학교,본교,77.7
2009,아세아연합신학대학교,본교,64.1
2009,아주대학교,본교,78.1
2009,안양대학교,본교,63.4
2009,연세대학교,본교,78.0
2009,영남대학교,본교,68.1
2009,영남신학대학교,본교,52.6
2009,영동대학교,본교,74.9
2009,영산대학교,본교,80.0
2009,영산선학대학교,본교,90.9
2009,예수대학교,본교,92.0
2009,예원예술대학교,본교,87.1
2009,용인대학교,본교,72.8
2009,우석대학교,본교,83.1
2009,우송대학교,본교,81.2
2009,울산대학교,본교,77.2
2009,원광대학교,본교,73.7
2009,위덕대학교,본교,75.4
2009,을지대학교,본교,94.7
2009,이화여자대학교,본교,75.4
2009,인제대학교,본교,81.2
2009,인천가톨릭대학교,본교,68.9
2009,인하대학교,본교,73.6
2009,장로회신학대학교,본교,70.5
2009,전주대학교,본교,73.5
2009,조선대학교,본교,65.6
2009,중부대학교,본교,81.0
2009,중앙대학교,본교,72.7
2009,중앙승가대학교,본교,100.0
2009,차의과학대학교,본교,90.1
2009,청운대학교,본교,84.0
2009,청주대학교,본교,76.5
2009,초당대학교,본교,86.3
2009,총신대학교,본교,53.2
2009,추계예술대학교,본교,35.7
2009,침례신학대학교,본교,64.4
2009,칼빈대학교,본교,67.3
2009,탐라대학교,본교,57.7
2009,평택대학교,본교,68.0
2009,포항공과대학교,본교,89.8
2009,한국국제대학교,본교,83.0
2009,한국기술교육대학교,본교,92.9
2009,한국산업기술대학교,본교,86.7
2009,한국성서대학교,본교,88.9
2009,한국외국어대학교,본교,74.7
2009,한국정보통신대학교,본교,97.0
2009,한국항공대학교,본교,78.1
2009,한남대학교,본교,69.9
2009,한동대학교,본교,73.4
2009,한라대학교,본교,82.6
2009,한려대학교(산업대),본교,85.8
2009,한림대학교,본교,71.1
2009,한민학교,본교,27.8
2009,한서대학교,본교,81.5
2009,한성대학교,본교,57.4
2009,한세대학교,본교,63.2
2009,한신대학교,본교,57.5
2009,한양대학교,본교,76.4
2009,한일장신대학교,본교,69.4
2009,한중대학교,본교,87.4
2009,협성대학교,본교,60.6
2009,호남대학교,본교,74.1
2009,호남신학대학교,본교,62.6
2009,호서대학교,본교,75.9
2009,호원대학교,본교,77.0
2009,홍익대학교,본교,73.4
2010,가야대학교,본교,73.2
2010,가천의과학대학교,본교,65.1
2010,가톨릭대학교,본교,56.7
2010,감리교신학대학교,본교,35.1
2010,강남대학교,본교,54.5
2010,강서대학교,본교,52.1
2010,건국대학교,본교,68.5
2010,건동대학교,본교,78.4
2010,건양대학교,본교,73.1
2010,경기대학교,본교,58.1
2010,경남대학교,본교,48.3
2010,경동대학교,본교,59.5
2010,경북외국어대학교,본교,56.7
2010,경성대학교,본교,56.3
2010,경운대학교,본교,65.5
2010,경원대학교,본교,61.3
2010,경일대학교,본교,57.7
2010,경주대학교,본교,54.1
2010,경희대학교,본교,65.3
2010,계명대학교,본교,53.1
2010,고려대학교,본교,75.0
2010,고신대학교,본교,55.9
2010,관동대학교,본교,46.9
2010,광신대학교,본교,40.4
2010,광운대학교,본교,66.8
2010,광주가톨릭대학교,본교,83.9
2010,광주대학교,본교,62.0
2010,광주대학교(산업대),본교,45.3
2010,광주여자대학교,본교,67.7
2010,국민대학교,본교,60.7
2010,극동대학교,본교,49.0
2010,금강대학교,본교,58.3
2010,꽃동네현도사회복지대학교,본교,60.5
2010,나사렛대학교,본교,59.6
2010,남부대학교,본교,62.9
2010,남서울대학교,본교,59.2
2010,단국대학교,본교,58.1
2010,대구가톨릭대학교,본교,63.2
2010,대구대학교,본교,62.0
2010,대구예술대학교,본교,37.3
2010,대구외국어대학교,본교,50.0
2010,대구한의대학교,본교,58.9
2010,대불대학교,본교,52.9
2010,대신대학교,본교,37.1
2010,대전가톨릭대학교,본교,76.9
2010,대전대학교,본교,55.4
2010,대전신학교,본교,18.6
2010,대진대학교,본교,51.7
2010,덕성여자대학교,본교,56.1
2010,동국대학교,본교,55.4
2010,동덕여자대학교,본교,54.8
2010,동명대학교,본교,60.2
2010,동명정보대학교,본교,53.4
2010,동서대학교,본교,63.1
2010,동신대학교,본교,66.0
2010,동아대학교,본교,56.7
2010,동양대학교,본교,57.5
2010,동의대학교,본교,59.9
2010,루터대학교,본교,42.4
2010,명신대학교,본교,54.8
2010,명지대학교,본교,62.7
2010,목원대학교,본교,43.5
2010,목포가톨릭대학교,본교,69.2
2010,배재대학교,본교,48.8
2010,백석대학교,본교,50.0
2010,부산가톨릭대학교,본교,59.9
2010,부산외국어대학교,본교,47.8
2010,부산장신대학교,본교,55.4
2010,삼육대학교,본교,58.0
2010,상명대학교,본교,49.7
2010,상지대학교,본교,56.8
2010,서강대학교,본교,73.3
2010,서경대학교,본교,54.2
2010,서남대학교,본교,69.7
2010,서울기독대학교,본교,53.4
2010,서울신학대학교,본교,51.7
2010,서울여자대학교,본교,59.4
2010,서울장신대학교,본교,29.6
2010,서울한영대학교,본교,46.4
2010,서원대학교,본교,41.4
2010,선교청대학교,본교,50.0
2010,선문대학교,본교,56.6
2010,성결대학교,본교,53.3
2010,성공회대학교,본교,51.9
2010,성균관대학교,본교,73.1
2010,성신여자대학교,본교,55.1
2010,세명대학교,본교,57.8
2010,세종대학교,본교,55.5
2010,수도침례신학교,본교,40.0
2010,수원가톨릭대학교,본교,87.9
2010,수원대학교,본교,54.5
2010,숙명여자대학교,본교,66.8
2010,순천향대학교,본교,58.2
2010,숭실대학교,본교,69.2
2010,신경대학교,본교,0.0
2010,신라대학교,본교,53.8
2010,아세아연합신학대학교,본교,41.4
2010,아주대학교,본교,73.6
2010,안양대학교,본교,57.1
2010,연세대학교,본교,74.5
2010,영남대학교,본교,59.0
2010,영남신학대학교,본교,50.0
2010,영동대학교,본교,58.4
2010,영산대학교,본교,79.2
