기준년도,학교명,캠퍼스구분,학교종류,설립구분,지역,재학생수,기숙사실수,기숙사수용인원,기숙사지원자수,기숙사경쟁률,기숙사수용률
2021,서울기독대학교,본교,대학교,사립,서울,569.0,24,92,0.0,0.0,16.2
2021,서울여자대학교,본교,대학교,사립,서울,7294.0,348,883,1103.0,1.2,12.1
2021,서울한영대학교,본교,대학교,사립,서울,743.0,24,108,10.0,0.1,14.5
2021,성공회대학교,본교,대학교,사립,서울,2134.0,223,444,382.0,0.9,20.8
2021,성균관대학교,본교,대학교,사립,서울,24918.0,2711,5280,4591.0,0.9,21.2
2021,성신여자대학교,본교,대학교,사립,서울,9742.0,431,1049,1233.0,1.2,10.8
2021,세종대학교,본교,대학교,사립,서울,13720.0,628,1511,1716.0,1.1,11.0
2021,숙명여자대학교,본교,대학교,사립,서울,10744.0,599,1282,1120.0,0.9,11.9
2021,숭실대학교,본교,대학교,사립,서울,14993.0,822,1736,1473.0,0.8,11.6
2021,연세대학교,본교,대학교,사립,서울,26809.0,4233,9661,3130.0,0.3,36.0
2021,이화여자대학교,본교,대학교,사립,서울,19510.0,2427,4227,5128.0,1.2,21.7
2021,장로회신학대학교,본교,대학교,사립,서울,2000.0,177,642,375.0,0.6,32.1
2021,중앙대학교,본교,대학교,사립,서울,21496.0,1364,2817,6442.0,2.3,13.1
2021,총신대학교,본교,대학교,사립,서울,3087.0,404,1607,273.0,0.2,52.1
2021,추계예술대학교,본교,대학교,사립,서울,1235.0,78,178,41.0,0.2,14.4
2021,한국성서대학교,본교,대학교,사립,서울,1107.0,42,168,112.0,0.7,15.2
2021,한국외국어대학교,본교,대학교,사립,서울,19024.0,1650,3439,5588.0,1.6,18.1
2021,한성대학교,본교,대학교,사립,서울,6680.0,339,839,576.0,0.7,12.6
2021,한양대학교,본교,대학교,사립,서울,20961.0,1021,2324,3091.0,1.3,11.1
2021,홍익대학교,본교,대학교,사립,서울,13462.0,826,1861,2018.0,1.1,13.8
2022,감리교신학대학교,본교,대학교,사립,서울,1153.0,150,300,225.0,0.8,26.0
2022,강서대학교,본교,대학교,사립,서울,1551.0,37,121,64.0,0.5,7.8
2022,건국대학교,본교,대학교,사립,서울,17162.0,1728,3309,3906.0,1.2,19.3
2022,경희대학교,본교,대학교,사립,서울,29673.0,2640,5117,6271.0,1.2,17.2
2022,고려대학교,본교,대학교,사립,서울,26022.0,1462,3105,3891.0,1.3,11.9
2022,광운대학교,본교,대학교,사립,서울,8791.0,517,1069,1228.0,1.1,12.2
2022,국민대학교,본교,대학교,사립,서울,15630.0,619,1857,2970.0,1.6,11.9
2022,덕성여자대학교,본교,대학교,사립,서울,5395.0,470,853,1124.0,1.3,15.8
2022,동국대학교,본교,대학교,사립,서울,15079.0,819,2116,2473.0,1.2,14.0
2022,동덕여자대학교,본교,대학교,사립,서울,6975.0,193,758,464.0,0.6,10.9
2022,삼육대학교,본교,대학교,사립,서울,5827.0,506,1358,950.0,0.7,23.3
2022,상명대학교,본교,대학교,사립,서울,6972.0,202,609,653.0,1.1,8.7
2022,서강대학교,본교,대학교,사립,서울,10056.0,562,1294,1478.0,1.1,12.9
2022,서경대학교,본교,대학교,사립,서울,6229.0,176,680,552.0,0.8,10.9
2022,서울기독대학교,본교,대학교,사립,서울,501.0,24,92,0.0,0.0,18.4
2022,서울여자대학교,본교,대학교,사립,서울,7199.0,348,883,1418.0,1.6,12.3
2022,서울한영대학교,본교,대학교,사립,서울,739.0,24,108,11.0,0.1,14.6
2022,성공회대학교,본교,대학교,사립,서울,2009.0,223,444,518.0,1.2,22.1
2022,성균관대학교,본교,대학교,사립,서울,24356.0,2716,5227,6718.0,1.3,21.5
2022,성신여자대학교,본교,대학교,사립,서울,9339.0,426,1038,1434.0,1.4,11.1
2022,세종대학교,본교,대학교,사립,서울,13033.0,630,1506,1977.0,1.3,11.6
