기준년도,학교명,부담율
2014,나사렛대학교,14.3
2014,남부대학교,68.6
2014,남서울대학교,21.8
2014,단국대학교,6.9
2014,대구가톨릭대학교,100.0
2014,대구대학교,0.0
2014,대구사이버대학교,0.0
2014,대구예술대학교,11.7
2014,대구외국어대학교,9.8
2014,대구한의대학교,6.4
2014,대신대학교,99.7
2014,대전가톨릭대학교,100.0
2014,대전대학교,65.7
2014,대전신학대학교,100.0
2014,대진대학교,100.2
2014,덕성여자대학교,100.0
2014,동국대학교,64.4
2014,동덕여자대학교,12.1
2014,동명대학교,28.7
2014,동서대학교,11.5
2014,동신대학교,100.0
2014,동아대학교,26.5
2014,동양대학교,22.9
2014,동의대학교,21.8
2014,디지털서울문화예술대학교,0.0
2014,루터대학교,115.1
2014,명지대학교,0.8
2014,목원대학교,2.0
2014,목포가톨릭대학교,37.3
2014,배재대학교,20.1
2014,백석대학교,8.0
2014,부산가톨릭대학교,105.7
2014,부산디지털대학교,57.3
2014,부산외국어대학교,0.0
2014,부산장신대학교,63.1
2014,사이버한국외국어대학교,36.8
2014,삼육대학교,58.3
2014,상명대학교,9.2
2014,상지대학교,0.0
2014,서강대학교,2.4
2014,서경대학교,49.6
2014,서남대학교,0.0
2014,서울기독대학교,51.5
2014,서울디지털대학교,17.6
2014,서울사이버대학교,110.2
2014,서울신학대학교,100.9
2014,서울여자대학교,12.7
2014,서울장신대학교,56.5
2014,서울한영대학교,100.0
2014,서원대학교,13.0
2014,선문대학교,100.2
2014,성결대학교,7.6
2014,성공회대학교,30.1
2014,성균관대학교,100.0
2014,성신여자대학교,4.0
2014,세명대학교,42.2
2014,세종대학교,19.9
2014,세종사이버대학교,49.0
2014,세한대학교,30.8
2014,송원대학교,64.0
2014,수원가톨릭대학교,101.3
2014,수원대학교,6.2
2014,숙명여자대학교,0.8
2014,순복음총회신학교,165.4
2014,순천향대학교,102.6
2014,숭실대학교,11.9
2014,숭실사이버대학교,6.1
2014,신경대학교,0.0
2014,신라대학교,9.5
2014,신한대학교,3.1
2014,아세아연합신학대학교,67.7
2014,아주대학교,62.7
2014,안양대학교,18.0
2014,연세대학교,83.7
2014,열린사이버대학교,0.0
2014,영남대학교,45.5
2014,영남신학대학교,100.0
2014,영동대학교,38.4
2014,영산대학교,71.1
