기준년도,학교명,평가주기,설립구분,지역,통합지표값,원자료지표값,재계산지표값,분자,분모,단위,원본파일명,직원1인당학생수
2017,건국대학교,2,사립,서울,44.40576,44.40576,44.40576,20027.0,451.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,44.40576
2017,경희대학교,2,사립,서울,39.33293,39.33293,39.33293,32843.0,835.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,39.33293
2017,고려대학교,2,사립,서울,31.90064,31.90064,31.90064,29859.0,936.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,31.90064
2017,광운대학교,2,사립,서울,43.40183,43.40182,43.40183,9505.0,219.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,43.40183
2017,국민대학교,2,사립,서울,41.03661,41.03661,41.03661,17933.0,437.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,41.03661
2017,덕성여자대학교,2,사립,서울,50.58678,50.58677,50.58678,6121.0,121.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,50.58678
2017,동국대학교,2,사립,서울,57.99346,57.99346,57.99346,17746.0,306.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,57.99346
2017,동덕여자대학교,2,사립,서울,58.27869,58.27868,58.27869,7110.0,122.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,58.27869
2017,삼육대학교,2,사립,서울,27.70833,27.70833,27.70833,5985.0,216.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,27.70833
2017,상명대학교,2,사립,서울,44.10429,44.10429,44.10429,14378.0,326.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,44.10429
2017,서강대학교,2,사립,서울,43.42412,43.42412,43.42412,11160.0,257.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,43.42412
2017,서경대학교,2,사립,서울,56.80645,56.80645,56.80645,7044.0,124.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,56.80645
2017,서울기독대학교,2,사립,서울,28.73077,28.73076,28.73077,747.0,26.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,28.73077
2017,서울여자대학교,2,사립,서울,27.3,27.3,27.3,7644.0,280.0,students_per_staff,2주기 2017년도 대학현황지표 - 20260427111435.xlsx,27.3
