기준년도,학교명,법인명,설립,학급,학종,지역,회계,운영수입,등록금수입,기부금수입,등록금비율,기부금비율,source_file_name,source_sheet_name
2016,동서대학교,동서학원,사립,대학,일반,부산,교비,117845190.0,72203145.0,763478.0,61.27,0.65,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,동신대학교,해인학원,사립,대학,일반,전남,교비,80985391.0,48560278.0,550251.0,59.96,0.68,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,동아대학교,동아학숙,사립,대학,일반,부산,교비,226798837.0,147718473.0,3039910.0,65.13,1.34,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,동양대학교,현암학원,사립,대학,일반,경북,교비,43249007.0,27076725.0,327581.0,62.61,0.76,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,동의대학교,동의학원,사립,대학,일반,부산,교비,174967854.0,107624437.0,1830748.0,61.51,1.05,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,루터대학교,루터교학원,사립,대학,일반,경기,교비,5499902.0,2838997.0,86357.0,51.62,1.57,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,명지대학교,명지학원,사립,대학,일반,서울,교비,187193743.0,130337389.0,1510382.0,69.63,0.81,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,목원대학교,감리교학원,사립,대학,일반,대전,교비,92926452.0,62857016.0,913197.0,67.64,0.98,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,목포가톨릭대학교,골롬반학원,사립,대학,일반,전남,교비,6568735.0,3740076.0,248201.0,56.94,3.78,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,배재대학교,배재학당,사립,대학,일반,대전,교비,96728344.0,64077696.0,1169393.0,66.25,1.21,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,백석대학교,백석대학교,사립,대학,일반,충남,교비,160728588.0,111079223.0,1019564.0,69.11,0.63,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,부산가톨릭대학교,성모학원,사립,대학,일반,부산,교비,45195075.0,27683801.0,506882.0,61.25,1.12,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,부산외국어대학교,학교법인 성지학원,사립,대학,일반,부산,교비,90208900.0,52793684.0,595547.0,58.52,0.66,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,부산장신대학교,부산장신대학교,사립,대학,일반,경남,교비,5171883.0,3006313.0,778940.0,58.13,15.06,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,삼육대학교,삼육학원,사립,대학,일반,서울,교비,72381138.0,46460617.0,1855014.0,64.19,2.56,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,상명대학교,상명학원,사립,대학,일반,서울,교비,173230260.0,118659897.0,1853782.0,68.5,1.07,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,상지대학교,상지학원,사립,대학,일반,강원,교비,67618996.0,52039214.0,1167222.0,76.96,1.73,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,서강대학교,서강대학교,사립,대학,일반,서울,교비,173675384.0,101690605.0,15174457.0,58.55,8.74,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,서경대학교,서경대학원,사립,대학,일반,서울,교비,78160862.0,51120637.0,789018.0,65.4,1.01,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
