reference_year,row_no,university_name,school_type,founding_type,region_name,size_group,regular_staff_certified,regular_staff_not_certified,non_regular_staff_certified,non_regular_staff_not_certified,total_staff_certified,total_staff_not_certified,enrolled_students,library_staff_per_1000_students_original,student_count_basis,schema_group,library_staff_per_1000_students_recalculated,source_file_name,metric_calc_status,metric_value_was_infinite_or_invalid,scope_school_id,is_scope34_exact,is_comparison11,standardization_source
2009,209,서울여자대학교,대학,사립,서울,B그룹,6.0,2.0,9.0,0.0,15.0,2.0,7961,1.899999976158142,current_year,legacy_2008_2016,1.8590629317924885,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000126,True,True,processed_csv_candidate_not_raw_verified
2009,213,서울한영대학교,대학,사립,서울,C그룹,3.0,0.0,0.0,1.0,3.0,1.0,970,3.5999999046325684,current_year,legacy_2008_2016,3.608247422680413,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000205,True,False,processed_csv_candidate_not_raw_verified
2009,223,성공회대학교,대학,사립,서울,C그룹,4.0,3.0,0.0,0.0,4.0,3.0,2656,2.4000000953674316,current_year,legacy_2008_2016,2.4096385542168677,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000132,True,False,processed_csv_candidate_not_raw_verified
2009,224,성균관대학교,대학,사립,서울,A그룹,28.0,3.0,36.0,3.0,64.0,6.0,26155,2.299999952316284,current_year,legacy_2008_2016,2.3207799655897534,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000133,True,False,processed_csv_candidate_not_raw_verified
2009,227,성신여자대학교,대학,사립,서울,A그룹,5.0,2.0,2.0,7.0,7.0,9.0,10942,1.100000023841858,current_year,legacy_2008_2016,1.0692743556936573,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000136,True,True,processed_csv_candidate_not_raw_verified
2009,233,세종대학교,대학,사립,서울,A그룹,17.0,0.0,0.0,0.0,17.0,0.0,12861,1.2999999523162842,current_year,legacy_2008_2016,1.3218256745198662,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000138,True,True,processed_csv_candidate_not_raw_verified
2009,244,숙명여자대학교,대학,사립,서울,A그룹,13.0,6.0,3.0,0.0,16.0,6.0,12947,1.600000023841858,current_year,legacy_2008_2016,1.5602069977600992,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000141,True,True,processed_csv_candidate_not_raw_verified
2009,249,숭실대학교,대학,사립,서울,A그룹,11.0,0.0,0.0,0.0,11.0,0.0,14720,0.699999988079071,current_year,legacy_2008_2016,0.7472826086956522,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000143,True,True,processed_csv_candidate_not_raw_verified
2009,269,연세대학교,대학,사립,서울,A그룹,53.0,8.0,26.0,16.0,79.0,24.0,29868,3.0,current_year,legacy_2008_2016,2.9529931699477703,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000149,True,False,processed_csv_candidate_not_raw_verified
2009,304,이화여자대학교,대학,사립,서울,A그룹,29.0,4.0,29.0,6.0,58.0,10.0,21211,2.799999952316284,current_year,legacy_2008_2016,2.753288388100514,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000163,True,True,processed_csv_candidate_not_raw_verified
2009,313,장로회신학대학교,대학,사립,서울,C그룹,3.0,3.0,3.0,0.0,6.0,3.0,2308,3.4000000953674316,current_year,legacy_2008_2016,3.379549393414212,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000170,True,False,processed_csv_candidate_not_raw_verified
2009,334,중앙대학교,대학,사립,서울,A그룹,36.0,0.0,1.0,3.0,37.0,3.0,19226,2.0,current_year,legacy_2008_2016,1.992094039321752,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000175,True,False,processed_csv_candidate_not_raw_verified
2009,348,총신대학교,대학,사립,서울,C그룹,6.0,1.0,1.0,0.0,7.0,1.0,3596,2.0999999046325684,current_year,legacy_2008_2016,2.1134593993325916,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000180,True,False,processed_csv_candidate_not_raw_verified
