reference_year,survey_round,school_code,campus_type,university_name,field_category,school_type,region_name,founding_type,source_file_name,교원확보율(전임교원)(편제정원),교원확보율(전임교원)(재학생),교원확보율(겸임포함)(편제정원),교원확보율(겸임포함)(재학생),교원확보율(초빙포함)(편제정원),교원확보율(초빙포함)(재학생),겸임교원확보율(편제정원),겸임교원확보율(재학생),겸임교원확보율(편제정원_최종),겸임교원확보율(재학생_최종)
2015,201501,53023000,,광주가톨릭대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53023000,,광주가톨릭대학교 본교,인문사회,,,,2015년교원확보율.xlsx,177.78,266.67,177.78,266.67,177.78,266.67,0.0,0.0,0.0,0.0
2015,201501,53023000,,광주가톨릭대학교 본교,자연과학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53023000,,광주가톨릭대학교 본교,총계,,,,2015년교원확보율.xlsx,177.78,266.67,177.78,266.67,177.78,266.67,0.0,0.0,0.0,0.0
2015,201501,S5110000,,광주과학기술원 본교,공학,,,,2015년교원확보율.xlsx,123.29,134.33,123.29,134.33,123.29,134.33,0.0,0.0,0.0,0.0
2015,201501,S5110000,,광주과학기술원 본교,소계,,,,2015년교원확보율.xlsx,131.9,133.04,131.9,133.04,131.9,133.04,0.0,0.0,0.0,0.0
2015,201501,S5110000,,광주과학기술원 본교,예체능,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,S5110000,,광주과학기술원 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,S5110000,,광주과학기술원 본교,인문사회,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,S5110000,,광주과학기술원 본교,자연과학,,,,2015년교원확보율.xlsx,225.0,131.25,225.0,131.25,225.0,131.25,0.0,0.0,0.0,0.0
2015,201501,S5110000,,광주과학기술원 본교,총계,,,,2015년교원확보율.xlsx,131.9,133.04,131.9,133.04,131.9,133.04,0.0,0.0,0.0,0.0
2015,201501,53148000,,광주대학교 본교,공학,,,,2015년교원확보율.xlsx,75.41,83.64,88.52,98.18,93.44,103.64,13.11,14.54,3.933,4.0
2015,201501,53148000,,광주대학교 본교,소계,,,,2015년교원확보율.xlsx,74.01,72.18,86.72,84.57,87.85,85.67,12.71,12.39,3.813,3.717
2015,201501,53148000,,광주대학교 본교,예체능,,,,2015년교원확보율.xlsx,57.35,60.0,76.47,80.0,76.47,80.0,19.12,20.0,4.0,4.0
2015,201501,53148000,,광주대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53148000,,광주대학교 본교,인문사회,,,,2015년교원확보율.xlsx,86.63,77.2,100.0,89.12,100.58,89.64,13.37,11.92,4.0,3.576
2015,201501,53148000,,광주대학교 본교,자연과학,,,,2015년교원확보율.xlsx,52.83,56.0,54.72,58.0,54.72,58.0,1.89,2.0,0.567,0.6
2015,201501,53148000,,광주대학교 본교,총계,,,,2015년교원확보율.xlsx,74.01,72.18,86.72,84.57,87.85,85.67,12.71,12.39,3.813,3.717
2015,201501,53024000,,광주여자대학교 본교,공학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53024000,,광주여자대학교 본교,소계,,,,2015년교원확보율.xlsx,71.79,69.65,89.74,87.56,89.74,87.56,17.95,17.91,4.0,4.0
2015,201501,53024000,,광주여자대학교 본교,예체능,,,,2015년교원확보율.xlsx,53.85,58.33,69.23,75.0,69.23,75.0,15.38,16.67,4.0,4.0
2015,201501,53024000,,광주여자대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53024000,,광주여자대학교 본교,인문사회,,,,2015년교원확보율.xlsx,95.83,89.61,115.28,109.09,115.28,109.09,19.45,19.48,4.0,4.0
2015,201501,53024000,,광주여자대학교 본교,자연과학,,,,2015년교원확보율.xlsx,59.81,58.18,77.57,75.45,77.57,75.45,17.76,17.27,4.0,4.0
2015,201501,53024000,,광주여자대학교 본교,총계,,,,2015년교원확보율.xlsx,71.79,69.65,89.74,87.56,89.74,87.56,17.95,17.91,4.0,4.0
2015,201501,53026000,,국민대학교 본교,공학,,,,2015년교원확보율.xlsx,75.26,63.56,82.11,69.33,82.11,69.33,6.85,5.77,2.055,1.731
2015,201501,53026000,,국민대학교 본교,소계,,,,2015년교원확보율.xlsx,82.31,70.73,93.11,80.0,93.63,80.45,10.8,9.27,3.24,2.781
2015,201501,53026000,,국민대학교 본교,예체능,,,,2015년교원확보율.xlsx,58.38,60.85,76.14,79.37,76.65,79.89,17.76,18.52,4.0,4.0
2015,201501,53026000,,국민대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53026000,,국민대학교 본교,인문사회,,,,2015년교원확보율.xlsx,100.98,79.08,112.38,88.01,113.03,88.52,11.4,8.93,3.42,2.679
2015,201501,53026000,,국민대학교 본교,자연과학,,,,2015년교원확보율.xlsx,86.67,73.03,86.67,73.03,88.0,74.16,0.0,0.0,0.0,0.0
2015,201501,53026000,,국민대학교 본교,총계,,,,2015년교원확보율.xlsx,82.31,70.73,93.11,80.0,93.63,80.45,10.8,9.27,3.24,2.781
2015,201501,51006000,,군산대학교 본교,공학,,,,2015년교원확보율.xlsx,77.97,74.59,79.66,76.22,79.66,76.22,1.69,1.63,0.507,0.489
2015,201501,51006000,,군산대학교 본교,소계,,,,2015년교원확보율.xlsx,78.85,78.13,80.0,79.27,80.0,79.27,1.15,1.14,0.345,0.342
2015,201501,51006000,,군산대학교 본교,예체능,,,,2015년교원확보율.xlsx,64.71,66.67,64.71,66.67,64.71,66.67,0.0,0.0,0.0,0.0
2015,201501,51006000,,군산대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,51006000,,군산대학교 본교,인문사회,,,,2015년교원확보율.xlsx,74.58,77.88,76.27,79.65,76.27,79.65,1.69,1.77,0.507,0.531
2015,201501,51006000,,군산대학교 본교,자연과학,,,,2015년교원확보율.xlsx,89.62,87.96,89.62,87.96,89.62,87.96,0.0,0.0,0.0,0.0
2015,201501,51006000,,군산대학교 본교,총계,,,,2015년교원확보율.xlsx,78.85,78.13,80.0,79.27,80.0,79.27,1.15,1.14,0.345,0.342
2015,201501,53027000,,그리스도대학교 본교,공학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53027000,,그리스도대학교 본교,소계,,,,2015년교원확보율.xlsx,77.27,77.27,81.82,81.82,81.82,81.82,4.55,4.55,1.365,1.365
2015,201501,53027000,,그리스도대학교 본교,예체능,,,,2015년교원확보율.xlsx,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
